id;ehit_id;nliik_kood;kuju_jnr;gis_kood;nimetus;sissepaasu_punkt;ads_oid;geometry;kuju_moodustusviis;date_created;date_updated;ehr_kood;adob_id;ads_liik;tyhistatud_kp;nahtus;taisaadress;lahiaadress;pindala;viitepunkt_x;viitepunkt_y;geom_updated
1442838;4377511;;1;;Abihoone;;ME03585065;01030000000100000005000000D7A370BD884C21410AD7A3F0931B5941713D0AD77E4C2141C3F528FC921B5941A4703D0A844C214148E17A24921B59410AD7A3F08D4C21418FC2F518931B5941D7A370BD884C21410AD7A3F0931B5941;D;2017-02-02 17:11:33.442199;2023-03-23 17:16:04.926630;120809800;7430862;ME;;HOONE;Harju maakond, Raasiku vald, Raasiku alevik, Tiigi tn 1;Tiigi tn 1;;;;2017-02-02 17:11:33
1472033;4406969;MMARAJAT;1;1;Kanalisatsiooni kogumismahuti;;;010200000005000000E17A142EB6DA204114AE47A1A01259417B14AEC7C2DA204114AE47A1A01259417B14AEC7C2DA20410AD7A330A0125941C3F528DCB6DA20410AD7A330A01259418FC2F5A8B6DA204148E17A94A0125941;D;2017-03-07 11:12:03.494159;2024-03-07 11:55:37.550173;220795343;;ME;;RAJATIS;Harju maakond, Kiili vald, Metsanurga küla, Kaugemäe;Kaugemäe;0.0;552289.39;6572673.64;2017-03-07 11:12:03
1472130;4407072;PAED;1;1;Piirdeaed;;;;;2017-03-07 11:54:40.790000;2017-03-20 16:57:06.409989;220813615;;;;RAJATIS;Harju maakond, Tallinn, Kristiine linnaosa, Nõmme tee 60;Nõmme tee 60;;;;
1472130;4407072;PAED;1;1;Piirdeaed;;;;;2017-03-07 11:54:40.790000;2017-03-20 16:57:06.409989;220813615;;;;RAJATIS;Harju maakond, Tallinn, Kristiine linnaosa, Nõmme tee 60;Nõmme tee 60;;;;
1474421;4409351;SLMAA;1;1;Sidekanalisatsioon;;;0102000000020000003D0AD7233F482041333333C3341A59410AD7A3F0AF4820417B14AEA7291A5941;D;2017-03-09 14:47:27.545000;2024-10-03 13:02:17.257027;220813936;;ME;;SIDE;Harju maakond, Saue vald, Alliku küla, Kauri tee L3;Kauri tee L3;;;;2017-03-09 14:49:29
1494924;4429541;PAED;1;1;piirdeaja;;;010200000006000000CDCCCCCC6784264133333373E92359413333333398842641CDCCCCECEC23594100000000BD84264166666606E2235941CDCCCCCC8A8426419A9999B9E0235941CDCCCCCC65842641CDCCCCACE8235941CDCCCCCC6784264133333373E9235941;D;2017-03-24 16:08:33.246000;2017-03-27 09:35:00.234975;220815735;;;;RAJATIS;Ida-Viru maakond, Narva linn, Rakvere tn 26;Rakvere tn 26;;;;2017-03-24 16:11:45
1497391;4430834;MPRAJAT;1;1;Piirdeaed;;;;;2017-03-28 23:52:04.675000;2017-03-28 23:53:17.547574;220815944;;;;RAJATIS;Harju maakond, Tallinn, Haabersti linnaosa, Suurevälja tn 21, Kinnistu kagu ja edela piiril;Suurevälja tn 21, Kinnistu kagu ja edela piiril;;;;
1497391;4430834;MPRAJAT;1;1;Piirdeaed;;;;;2017-03-28 23:52:04.675000;2017-03-28 23:53:17.547574;220815944;;;;RAJATIS;Harju maakond, Tallinn, Haabersti linnaosa, Suurevälja tn 21, Kinnistu kagu ja edela piiril;Suurevälja tn 21, Kinnistu kagu ja edela piiril;;;;
1498161;4432730;;1;;elamu;;EE01082859;0103000000010000000D000000A4703D8ACA40204114AE4721C7225941295C8FC2C940204114AE4741C62259413D0AD723C7402041AE47E14AC6225941333333B3C540204148E17AB4C4225941F6285C8FCF40204114AE4791C4225941666666E6CF4020413D0AD7F3C422594166666666D94020411F85EBD1C4225941F6285C0FD9402041EC51B86EC4225941B81E85EBE2402041AE47E14AC4225941713D0A57E440204114AE47E1C522594185EB51B8E140204185EB51E8C522594152B81E85E2402041A4703DCAC6225941A4703D8ACA40204114AE4721C7225941;D;2017-03-29 14:19:06.249928;2021-12-13 15:28:23.611501;120218036;10420166;EE;;HOONE;Harju maakond, Tallinn, Haabersti linnaosa, Postitalu tn 3;Postitalu tn 3;175.8;532586.78;6589207.29;2021-12-13 15:28:23
1516774;4451232;;1;;elamu;;ME01157056;01030000000100000005000000295C8F42A31D214114AE4721461B594166666666931D2141F6285CCF481B5941A4703D8A771D2141C3F5283C461B594166666666871D2141D7A3708D431B5941295C8F42A31D214114AE4721461B5941;K;2017-04-20 09:48:39.286904;2017-04-20 10:09:38.005932;116057482;7511316;ME;;HOONE;Harju maakond, Raasiku vald, Aruküla alevik, Põhja tn 10;Põhja tn 10;;;;2017-04-20 10:09:38
1527694;4462455;PKAEV;1;1;puurkaev;;;010100000000000000587B24410000000059895841;D;2017-05-04 08:25:38.920534;2017-05-04 08:25:38.920534;220809383;;;;RAJATIS;Põlva maakond, Kanepi vald, Hurmi küla, Müüri;Müüri;0.0;671148.00;6432100.00;2017-05-04 08:25:38
