id;ehit_id;nliik_kood;kuju_jnr;gis_kood;nimetus;sissepaasu_punkt;ads_oid;geometry;kuju_moodustusviis;date_created;date_updated;ehr_kood;adob_id;ads_liik;tyhistatud_kp;nahtus;taisaadress;lahiaadress;pindala;viitepunkt_x;viitepunkt_y;geom_updated
3147783;6062609;PKAEV;1;1;puurkaev;;;010100000000000000CC6D194100000080E2A05841;D;2018-10-29 08:52:50.503786;2022-06-21 17:55:52.463946;220793238;;ME;;RAJATIS;Saare maakond, Saaremaa vald, Muratsi küla, Allika tee 14;Allika tee 14;0.0;416627.00;6456202.00;2018-10-29 08:52:50
3153909;6068304;PAED;1;1;üksikelamu piirdeaed;;;010200000006000000CDCCCCCC37412041713D0AF76E1959417B14AE473B41204148E17AB46E195941F6285C0F3B4120418FC2F5E86B1959415C8FC2F5384120413D0AD7736B195941000000003B412041EC51B84E6B195941F6285C8F3A412041000000E065195941;D;2018-11-05 09:39:19.175000;2018-11-05 09:40:19.575251;221265446;;;;RAJATIS;Harju maakond, Saue vald, Alliku küla, Karutiigi tn 6;Karutiigi tn 6;;;;2018-11-05 09:40:09
3154618;6069001;;1;;Ruumikuju automaatne kanne Maa-ameti infosüsteemist;;EE01655708;01030000000100000011000000F6285C8FC38120418FC2F548A21D5941666666E6BB812041AE47E1DAA11D5941D7A3703DB9812041AE47E1FAA11D59418FC2F5A8B3812041333333B3A11D594148E17A14B3812041B81E855BA11D5941D7A370BDAA812041333333E3A01D59418FC2F5A8AA8120411F85EBE1A01D594114AE47E1B181204114AE47E19E1D59410AD7A3F0BB8120411F85EB719F1D594148E17A94BE8120418FC2F5C89E1D59415C8FC275C48120410AD7A3209F1D5941A4703D0AC28120419A9999C99F1D594114AE4761C981204133333333A01D5941295C8FC2CA812041713D0A47A01D59417B14AEC7CA8120417B14AE47A01D59413D0AD7A3CA8120411F85EB51A01D5941F6285C8FC38120418FC2F548A21D5941;K;2018-11-05 16:25:53.740224;2022-09-30 17:03:43.212850;101018829;10564575;EE;;HOONE;Harju maakond, Tallinn, Nõmme linnaosa, Pärnu mnt 159;Pärnu mnt 159;133.9;540893.50;6583938.10;2018-11-05 16:25:54
3154618;6069001;;1;;Ruumikuju automaatne kanne Maa-ameti infosüsteemist;;EE01655708;01030000000100000011000000F6285C8FC38120418FC2F548A21D5941666666E6BB812041AE47E1DAA11D5941D7A3703DB9812041AE47E1FAA11D59418FC2F5A8B3812041333333B3A11D594148E17A14B3812041B81E855BA11D5941D7A370BDAA812041333333E3A01D59418FC2F5A8AA8120411F85EBE1A01D594114AE47E1B181204114AE47E19E1D59410AD7A3F0BB8120411F85EB719F1D594148E17A94BE8120418FC2F5C89E1D59415C8FC275C48120410AD7A3209F1D5941A4703D0AC28120419A9999C99F1D594114AE4761C981204133333333A01D5941295C8FC2CA812041713D0A47A01D59417B14AEC7CA8120417B14AE47A01D59413D0AD7A3CA8120411F85EB51A01D5941F6285C8FC38120418FC2F548A21D5941;K;2018-11-05 16:25:53.740224;2022-09-30 17:03:43.212850;101018829;10564575;EE;;HOONE;Harju maakond, Tallinn, Nõmme linnaosa, Pärnu mnt 159;Pärnu mnt 159;133.9;540893.50;6583938.10;2018-11-05 16:25:54
3155005;6069368;MARAJAT;1;1;Biopuhasti;;;;;2018-11-06 09:31:27.941000;2018-11-06 09:32:40.508832;221265599;;;;RAJATIS;Rapla maakond, Kohila vald, Rabivere küla, Loonurme;Loonurme;;;;
3158620;6072954;MARAJAT;1;1;Valga reoveepumpla kraav;;;01030000000100000009000000D7A370BD58FA2241CDCCCCDC807058413D0AD72358FA2241A4703D4A8170584152B81E0548FA22411F85EBC180705841B81E85EB31FA22413D0AD7237F705841B81E85EB2CFA224114AE473180705841D7A370BD29FA2241295C8FF27F7058410AD7A37031FA2241F6285C7F7E705841C3F5285C49FA224185EB515880705841D7A370BD58FA2241CDCCCCDC80705841;D;2018-11-09 10:06:13.093933;2018-11-09 10:06:13.093933;220831076;;;;RAJATIS;Valga maakond, Valga vald, Valga linn, Peetri tn 18;Peetri tn 18;;;;2018-11-09 10:06:13
3158621;6072955;;1;;Reoveepumpla;;ME00971129;01030000000100000035000000EC51B89E44FA2241AE47E16A827058415C8FC2F545FA2241EC51B86E82705841295C8F4247FA22417B14AE778270584152B81E8548FA224152B81E858270584185EB51B849FA22417B14AE9782705841713D0AD74AFA2241E17A14AE82705841C3F528DC4BFA22418FC2F5C882705841CDCCCCCC4CFA22417B14AEE7827058419A9999994DFA22419A99990983705841295C8F424EFA2241EC51B82E837058417B14AEC74EFA22415C8FC25583705841EC51B81E4FFA2241EC51B87E83705841C3F5285C4FFA224185EB51A8837058410AD7A3704FFA2241295C8FD283705841713D0A574FFA2241D7A370FD8370584148E17A144FFA2241713D0A278470584152B81E854EFA22419A99995984705841B81E85EB4DFA2241F6285C7F84705841E17A142E4DFA2241295C8FA2847058411F85EB514CFA2241333333C384705841713D0A574BFA2241F6285CDF84705841295C8F424AFA224185EB51F8847058419A99991949FA2241CDCCCC0C85705841C3F528DC47FA2241C3F5281C8570584148E17A9446FA2241713D0A2785705841295C8F4245FA2241CDCCCC2C85705841B81E85EB43FA2241E17A142E857058419A99999942FA22419A99992985705841CDCCCC4C41FA22410000002085705841F6285C0F40FA22411F85EB1185705841C3F528DC3EFA2241EC51B8FE84705841D7A370BD3DFA22417B14AEE784705841D7A370BD3CFA2241C3F528CC847058411F85EBD13BFA2241CDCCCCAC84705841A4703D0A3BFA2241AE47E18A84705841C3F5285C3AFA22415C8FC26584705841C3F528DC39FA2241E17A143E84705841A4703D8A39FA224152B81E1584705841713D0A5739FA2241AE47E1EA83705841CDCCCC4C39FA22410AD7A3C083705841B81E856B39FA22416666669683705841333333B339FA2241CDCCCC6C83705841EC51B81E3AFA224148E17A448370584185EB51B83AFA2241EC51B81E837058410AD7A3703BFA2241AE47E1FA827058417B14AE473CFA2241A4703DDA82705841295C8F423DFA2241D7A370BD827058411F85EB513EFA22413D0AD7A382705841AE47E17A3FFA2241EC51B88E82705841333333B340FA2241EC51B87E82705841AE47E1FA41FA22413333337382705841CDCCCC4C43FA2241CDCCCC6C82705841EC51B89E44FA2241AE47E16A82705841;K;2018-11-09 10:06:15.770748;2018-11-09 10:06:15.770748;111036260;8590151;ME;;HOONE;Valga maakond, Valga vald, Valga linn, Peetri tn 18;Peetri tn 18;95.8;621858.18;6406671.20;2018-11-09 10:06:15
3158995;6073303;;1;;kuur;;ME03265346;01030000000100000005000000713D0AD7C07718413D0AD7E3A19E5841E17A14AEB277184152B81EC5A29E584152B81E859D77184114AE4771A19E5841E17A14AEAB771841F6285C8FA09E5841713D0AD7C07718413D0AD7E3A19E5841;D;2018-11-09 13:15:17.665618;2024-03-13 09:34:47.185220;120683060;5226937;ME;;HOONE;Saare maakond, Saaremaa vald, Mändjala küla, Tammemarise;Tammemarise;37.5;400875.79;6453894.66;2018-11-09 13:15:17
3161691;6075833;MARAJAT;1;1;Õlipüüdur;;;0103000000010000000500000066666666FB8526415C8FC2552D235941D7A370BDFD852641AE47E13A2D235941B81E856BFE852641666666762D23594148E17A14FC8526411F85EB912D23594166666666FB8526415C8FC2552D235941;D;2018-11-13 12:51:10.971000;2018-11-13 12:52:05.264915;221266489;;;;RAJATIS;Ida-Viru maakond, Narva linn, Tallinna mnt 7;Tallinna mnt 7;;;;2018-11-13 12:51:53
3161691;6075833;MARAJAT;1;1;Õlipüüdur;;;0103000000010000000500000066666666FB8526415C8FC2552D235941D7A370BDFD852641AE47E13A2D235941B81E856BFE852641666666762D23594148E17A14FC8526411F85EB912D23594166666666FB8526415C8FC2552D235941;D;2018-11-13 12:51:10.971000;2018-11-13 12:52:05.264915;221266489;;;;RAJATIS;Ida-Viru maakond, Narva linn, Tallinna mnt 7;Tallinna mnt 7;;;;2018-11-13 12:51:53
3189568;6102008;;1;;Korterelamu;;EE00650913;01030000000100000005000000000000801D862041D7A370FD4D215941CDCCCC4C3E862041713D0A274F215941333333333886204148E17AD45121594166666666178620417B14AEA750215941000000801D862041D7A370FD4D215941;M;2018-12-12 21:21:54.318127;2022-07-11 23:24:15.429780;101033582;9707718;EE;;HOONE;Harju maakond, Tallinn, Kesklinna linnaosa, Väike-Ameerika tn 24/1;Väike-Ameerika tn 24/1;195.6;541461.51;6587711.48;2019-01-03 15:42:32
3198637;6110497;MARAJAT;1;1;Hoone sademeveetorustik;;;0102000000060000006666666683632641B81E856B3F2059413D0AD7A383632641B81E85CB3E205941A4703D8AD7632641000000503F2059415C8FC2F5D863264148E17A443A2059419A999999946426413D0AD7233B205941AE47E17A9764264152B81E9531205941;D;2018-12-21 14:46:05.358000;2018-12-21 14:46:35.787600;221271190;;;;RAJATIS;Ida-Viru maakond, Narva linn, Elektrijaama tee 63a;Elektrijaama tee 63a;;;;2018-12-21 14:46:29
3205946;6117540;;1;;Ruumikuju automaatne kanne Maa-ameti infosüsteemist;;EE00701496;01030000000100000007000000333333B35A202041C3F5283C2CB1584114AE47E144202041666666E62DB1584152B81E053B202041333333E32BB15841333333B3412020411F85EB612BB15841EC51B89E3C202041713D0A572AB15841D7A370BD4B202041E17A142E29B15841333333B35A202041C3F5283C2CB15841;K;2019-01-07 22:33:02.744976;2022-06-21 01:00:12.193235;103011152;10497860;EE;;HOONE;Pärnu maakond, Pärnu linn, Pärnu linn, Nurme tn 14;Nurme tn 14;163.9;528420.89;6472878.36;2019-01-07 22:33:02
3209431;6120919;KATUS;1;1;Sõnnikuhoidla;;;0103000000010000000500000085EB51388C782341295C8F92766E58419A999919837823418FC2F558746E5841C3F5285CCB782341713D0AB76F6E5841AE47E17AD47823410AD7A3F0716E584185EB51388C782341295C8F92766E5841;D;2019-01-11 09:58:13.780878;2019-01-11 09:58:13.780878;220845312;;;;RAJATIS;Valga maakond, Valga vald, Karula küla, Männimetsa;Männimetsa;;;;2019-01-11 09:58:13
3211845;6123239;VTORU;1;1;veetorustik;;;010200000003000000295C8FC2D5B1204100000070BE2B5941CDCCCC4CC9B12041C3F528BCBD2B5941B81E85EBC4B120415C8FC2B5BE2B5941;D;2019-01-15 10:52:38.188000;2019-01-15 10:53:53.021178;221272933;;;;VEEVARK;Harju maakond, Viimsi vald, Haabneeme alevik, Küti tee 3;Küti tee 3;;;;2019-01-15 10:53:53
3211850;6123241;KTORU;1;1;reoveekanalisatsioon;;;01020000000300000052B81E05D5B1204152B81ED5BE2B59413D0AD7A3C5B12041C3F528BCBD2B59418FC2F5A8C4B1204148E17AB4BD2B5941;D;2019-01-15 10:55:36.490000;2019-01-15 10:55:54.819192;221272934;;;;VEEVARK;Harju maakond, Viimsi vald, Haabneeme alevik, Küti tee 3;Küti tee 3;;;;2019-01-15 10:55:54
3211852;6123254;KTORU;1;1;sademeveetorustik;;;01020000000700000052B81E85D5B1204152B81ED5BE2B59413D0AD7A3C5B12041AE47E1EABD2B5941AE47E17AB7B12041F6285C0FC12B594114AE47E1A6B12041E17A140EC02B5941A4703D0AB5B120413D0AD773BC2B594114AE4761C6B12041E17A145EBD2B594166666666C5B12041AE47E1EABD2B5941;D;2019-01-15 10:57:49.006000;2019-01-15 10:58:27.876044;221272935;;;;VEEVARK;Harju maakond, Viimsi vald, Haabneeme alevik, Küti tee 3;Küti tee 3;;;;2019-01-15 10:58:27
3225359;6136285;MPRAJAT;1;1;piirdeaed;;;01020000000600000000000080A47B264148E17A64CC245941E17A14AED37B26415C8FC225C22459415C8FC2753C7B264114AE47B1B82459415C8FC2F5137B2641B81E852BC024594100000000127B26411F85EB61C724594100000080A47B264148E17A64CC245941;D;2019-02-01 10:02:25.232000;2019-02-01 10:04:20.718157;221274379;;;;RAJATIS;Ida-Viru maakond, Narva linn, Väike-Äkke;Väike-Äkke;;;;2019-02-01 10:04:20
3248182;6158469;;1;;;;ME00654852;010300000001000000070000000AD7A370106C2041AE47E11ACB1B5941C3F5285C066C204152B81E65CA1B5941295C8F420A6C2041713D0A87C91B594114AE47610A6C20410AD7A380C91B5941A4703D8A146C20417B14AE37CA1B5941D7A370BD146C2041B81E853BCA1B59410AD7A370106C2041AE47E11ACB1B5941;K;2019-02-12 14:30:38.559274;2019-02-12 14:30:38.559274;101038276;7026176;ME;;HOONE;Harju maakond, Tallinn, Nõmme linnaosa, Sanatooriumi tn 11;Sanatooriumi tn 11;24.0;538118.74;6582057.23;2019-02-12 14:30:38
3248182;6158469;;1;;;;ME00654852;010300000001000000070000000AD7A370106C2041AE47E11ACB1B5941C3F5285C066C204152B81E65CA1B5941295C8F420A6C2041713D0A87C91B594114AE47610A6C20410AD7A380C91B5941A4703D8A146C20417B14AE37CA1B5941D7A370BD146C2041B81E853BCA1B59410AD7A370106C2041AE47E11ACB1B5941;K;2019-02-12 14:30:38.559274;2019-02-12 14:30:38.559274;101038276;7026176;ME;;HOONE;Harju maakond, Tallinn, Nõmme linnaosa, Sanatooriumi tn 11;Sanatooriumi tn 11;24.0;538118.74;6582057.23;2019-02-12 14:30:38
3271529;6180944;;1;;Lihaveiselaut;;ME03488927;01030000000100000005000000E17A14AED5AB2341EC51B87EDE6B5841666666E6E1AB2341D7A3703DDA6B5841AE47E1FA05AC2341CDCCCCDCDB6B5841D7A370BDF9AB2341E17A141EE06B5841E17A14AED5AB2341EC51B87EDE6B5841;M;2019-03-11 09:36:01.602418;2019-03-11 09:37:28.141524;120770096;9736440;ME;;HOONE;Valga maakond, Valga vald, Rebasemõisa küla, Uue-Tsilimiku;Uue-Tsilimiku;;;;2019-03-11 09:37:28
3304954;6213367;PAED;1;1;Piirdeaed;;;01020000000A000000F6285C8FA1652041E17A143E401C594148E17A94786520417B14AE973C1C59416666666642652041295C8F92451C5941D7A3703D4465204185EB51C8451C59418FC2F5283D652041C3F5281C471C5941A4703D0A49652041D7A3702D481C594152B81E85636520415C8FC2954A1C5941B81E85EB7C652041EC51B89E461C5941713D0AD7926520418FC2F5D8421C5941F6285C8FA1652041E17A143E401C5941;D;2019-04-12 12:13:17.067000;2019-04-12 12:16:06.594167;221283228;;;;RAJATIS;Harju maakond, Tallinn, Nõmme linnaosa, Pärnu mnt 404;Pärnu mnt 404;;;;2019-04-12 12:15:22
3304954;6213367;PAED;1;1;Piirdeaed;;;01020000000A000000F6285C8FA1652041E17A143E401C594148E17A94786520417B14AE973C1C59416666666642652041295C8F92451C5941D7A3703D4465204185EB51C8451C59418FC2F5283D652041C3F5281C471C5941A4703D0A49652041D7A3702D481C594152B81E85636520415C8FC2954A1C5941B81E85EB7C652041EC51B89E461C5941713D0AD7926520418FC2F5D8421C5941F6285C8FA1652041E17A143E401C5941;D;2019-04-12 12:13:17.067000;2019-04-12 12:16:06.594167;221283228;;;;RAJATIS;Harju maakond, Tallinn, Nõmme linnaosa, Pärnu mnt 404;Pärnu mnt 404;;;;2019-04-12 12:15:22
3315882;6223892;SALVK;1;1;Salvkaev;;;010100000048E17A94CB4B2141333333E3552C5941;D;2019-04-22 22:55:39.264636;2023-08-04 13:32:32.871224;220795105;;ME;;RAJATIS;Harju maakond, Jõelähtme vald, Ihasalu küla, Ihasalu tee 114;Ihasalu tee 114;;;;2019-04-22 22:55:39
3330463;6237924;;1;;Ruumikuju automaatne kanne Maa-ameti infosüsteemist;;EE01643624;01030000000100000005000000D7A3703DE2622341AE47E14ABC1F5941666666E6D0622341CDCCCCBCBE1F59418FC2F5A883622341EC51B82EB61F5941AE47E1FA94622341CDCCCCBCB31F5941D7A3703DE2622341AE47E14ABC1F5941;K;2019-05-08 15:11:00.156694;2023-04-21 12:18:01.471206;108006943;7988885;EE;;HOONE;Lääne-Viru maakond, Rakvere vald, Arkna küla, Jõekalda tee 17;Jõekalda tee 17;674.3;635225.47;6586084.95;2019-05-08 15:11:00
3342717;6250091;MMARAJAT;1;1;veetorustik;;;010500000002000000010200000004000000A4703D8AE57C264148E17A444B2259411F85EB51E07C2641295C8F524B2259415C8FC275DF7C2641CDCCCC0C4A2259417B14AEC7DA7C2641713D0A174A225941010200000002000000B81E856BCA7C2641D7A3702D4B22594152B81E85D37C2641E17A141E4E225941;D;2019-05-21 13:58:17.199000;2019-05-24 12:28:52.892673;221288858;;;;RAJATIS;Ida-Viru maakond, Narva linn, 4. Paemurru tn 9;4. Paemurru tn 9;;;;2019-05-24 12:28:52
3342729;6250105;MMARAJAT;1;1;kanalisatsioonitoru;;;010500000002000000010200000004000000A4703D8AE57C26413D0AD7734B225941F6285C8FDF7C264148E17A844B225941333333B3DE7C264152B81E354A225941666666E6DA7C2641EC51B83E4A225941010200000003000000A4703D8AE57C26413D0AD7734B225941F6285C8FDF7C264148E17A844B225941F6285C0FD47C2641E17A141E4E225941;D;2019-05-21 14:05:58.123000;2019-05-24 12:31:11.168546;221288862;;;;RAJATIS;Ida-Viru maakond, Narva linn, 4. Paemurru tn 9;4. Paemurru tn 9;;;;2019-05-24 12:31:11
3346748;6254065;MMPRAJAT;1;1;piirdeaia;;;010200000003000000295C8F42DF7C26417B14AEF74E2259415C8FC2F5E47C264148E17AF44E2259418FC2F5A8DD7C2641B81E85EB45225941;D;2019-05-24 12:17:07.793000;2019-10-17 11:59:05.569035;221289490;;;;RAJATIS;Ida-Viru maakond, Narva linn, 4. Paemurru tn 9;4. Paemurru tn 9;;;;2019-10-17 11:59:05
3359645;6266699;SLMAA;11;11;Sidekanalisatsioon;;;010200000003000000D7A370BD1F23244185EB5108A5B258413D0AD72324232441C3F528CCA4B2584114AE47612A2324411F85EBD1A4B25841;D;2019-06-06 14:16:07.823373;2019-06-06 14:16:07.823373;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Fortuuna tänav T1;Fortuuna tänav T1;0.0;659856.97;6474387.66;2019-06-06 14:16:07
3359646;6266699;SLMAA;1;1;Sidekanalisatsioon;;;010200000017000000EC51B89E7D2224417B14AE47CAB25841295C8FC282222441CDCCCC0CCAB25841E17A14AE922224415C8FC275C5B258418FC2F5A893222441D7A3705DC5B2584100000000952224417B14AE57C5B258413D0AD7239C222441666666C6C5B25841CDCCCC4CA522244185EB51B8C6B258418FC2F528A5222441000000C0C5B25841E17A14AEAE222441E17A146EC3B2584152B81E85B1222441713D0A67C2B25841CDCCCCCCB7222441295C8F92C0B25841B81E856BBE2224413D0AD7D3BEB25841EC51B81EDE2224411F85EB51B6B258418FC2F528E722244114AE47B1B3B25841713D0AD7F12224418FC2F5E8B0B25841D7A370BDF5222441B81E85CBAFB25841B81E856B00232441B81E85FBACB258411F85EB5101232441AE47E1BAACB2584114AE47E106232441D7A370BDABB25841AE47E1FA0E232441295C8F02A9B2584114AE4761142324413D0AD753A7B2584148E17A941D2324415C8FC225A5B25841D7A370BD1F23244185EB5108A5B25841;D;2019-06-06 14:16:07.829235;2019-06-06 14:16:07.829235;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Põik tänav T1;Põik tänav T1;0.0;659820.57;6474462.63;2019-06-06 14:16:07
3359647;6266699;SLMAA;2;2;Sidekanalisatsioon;;;01020000000200000000000000952224417B14AE57C5B25841CDCCCCCC90222441713D0A17C5B25841;D;2019-06-06 14:16:07.831353;2019-06-06 14:16:07.831353;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Põik tänav T1;Põik tänav T1;0.0;659785.45;6474516.87;2019-06-06 14:16:07
3359648;6266699;SLMAA;3;3;Sidekanalisatsioon;;;010200000005000000CDCCCCCCB7222441295C8F92C0B25841295C8FC2B7222441713D0A77C0B258410AD7A370B722244152B81E65C0B25841D7A370BDA7222441CDCCCC6CBFB25841333333B3A622244133333333BFB25841;D;2019-06-06 14:16:07.832714;2019-06-06 14:16:07.832714;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Põik tänav T1;Põik tänav T1;0.0;659799.60;6474495.55;2019-06-06 14:16:07
3359649;6266699;SLMAA;4;4;Sidekanalisatsioon;;;0102000000020000007B14AEC7A5222441B81E857BBFB25841D7A370BDA7222441CDCCCC6CBFB25841;D;2019-06-06 14:16:07.834106;2019-06-06 14:16:07.834106;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Põik tänav T1;Põik tänav T1;0.0;659795.38;6474493.82;2019-06-06 14:16:07
3359650;6266699;SLMAA;5;5;Sidekanalisatsioon;;;010200000003000000666666E6C2222441C3F528FCBEB2584100000080C02224419A9999D9BEB25841B81E856BBE2224413D0AD7D3BEB25841;D;2019-06-06 14:16:07.836737;2019-06-06 14:16:07.836737;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Põik tänav T1;Põik tänav T1;0.0;659808.75;6474491.63;2019-06-06 14:16:07
3359651;6266699;SLMAA;12;12;Sidekanalisatsioon;;;010200000002000000EC51B89EDB2224410AD7A320B0B2584152B81E85DA222441666666E6AFB25841;D;2019-06-06 14:16:07.839699;2019-06-06 14:16:07.839699;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Põik tänav T1;Põik tänav T1;0.0;659821.54;6474432.06;2019-06-06 14:16:07
3359652;6266699;SLMAA;7;7;Sidekanalisatsioon;;;010200000004000000713D0AD7F12224418FC2F5E8B0B2584114AE47E1EB222441C3F528ACB0B25841EC51B89EDB2224410AD7A320B0B25841D7A3703DD9222441AE47E13AB0B25841;D;2019-06-06 14:16:07.842528;2019-06-06 14:16:07.842528;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Põik tänav T1;Põik tänav T1;0.0;659827.65;6474434.08;2019-06-06 14:16:07
3359653;6266699;SLMAA;9;9;Sidekanalisatsioon;;;010200000002000000713D0AD7F12224418FC2F5E8B0B258415C8FC275F2222441A4703DCAB1B25841;D;2019-06-06 14:16:07.845430;2019-06-06 14:16:07.845430;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Põik tänav T1;Põik tänav T1;0.0;659833.08;6474437.40;2019-06-06 14:16:07
3359654;6266699;SLMAA;10;10;Sidekanalisatsioon;;;010200000003000000B81E856B00232441B81E85FBACB25841000000000223244185EB51E8ACB258410AD7A3F003232441333333F3ACB25841;D;2019-06-06 14:16:07.892774;2019-06-06 14:16:07.892774;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Põik tänav T1;Põik tänav T1;0.0;659840.60;6474419.78;2019-06-06 14:16:07
3359655;6266699;SLMAA;6;6;Sidekanalisatsioon;;;010200000003000000EC51B81EDE2224411F85EB51B6B2584148E17A94DE222441CDCCCC8CB6B258417B14AE47E02224413D0AD7D3B6B25841;D;2019-06-06 14:16:07.894884;2019-06-06 14:16:07.894884;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Põik tänav T1;Põik tänav T1;0.0;659823.36;6474458.30;2019-06-06 14:16:07
3359656;6266699;SLMAA;8;8;Sidekanalisatsioon;;;010200000004000000713D0AD7F12224418FC2F5E8B0B2584114AE47E1EB222441C3F528ACB0B25841EC51B89EDB2224410AD7A320B0B25841D7A3703DD9222441AE47E13AB0B25841;D;2019-06-06 14:16:07.896518;2019-06-06 14:16:07.896518;221281775;;;;SIDE;Tartu maakond, Tartu linn, Tartu linn, Põik tänav T1;Põik tänav T1;0.0;659827.65;6474434.08;2019-06-06 14:16:07
3364978;6271756;;1;;;;EE00930765;010300000001000000050000005C8FC27573F22241A4703DEACA705841A4703D0A83F222415C8FC2C5C9705841D7A3703D8DF2224148E17AF4CB705841EC51B89E7DF222418FC2F518CD7058415C8FC27573F22241A4703DEACA705841;K;2019-06-12 14:37:20.903491;2019-06-12 14:50:01.640539;111019784;8603329;EE;;HOONE;Valga maakond, Valga vald, Valga linn, Viljandi tn 74;Viljandi tn 74;91.4;620864.17;6406957.74;2019-06-12 14:37:20
